,q05,q10,q25,q50,q75,q90,q95
2020-10-01,-0.8893280632411238,-0.694444444444442,-0.4965860864495637,-0.24982517482515787,0.29999999999998916,0.6481517830896951,1.0949343626730959
2020-11-01,-0.7920792079207595,-0.6422123121140744,-0.49652432969213844,-0.15770714792453788,0.300151952864558,0.5482948764544782,0.8996008639722916
2020-12-01,-0.3984063745020028,-0.2690745647362656,0.18597738894770566,0.3500278684798519,0.6045344648536066,0.8973080757726848,1.1116746713618089
2021-01-01,-0.5020222425839884,-0.3986250204609937,0.13242418221786992,0.44123845164473674,1.1050098946350062,1.3916996047430907,1.4000000000000234
2021-02-01,-1.0390884471708917,-0.7335129428540076,-0.42098069358267837,0.09950258607714924,0.4002104002103954,0.5964214711729587,0.700700700700696
2021-03-01,-3.2163742690058394,-2.8779053068164817,-2.348597248448861,-1.9685039370078705,-1.3857537684333106,-0.45813019072969974,0.30030030030030463
2021-04-01,-0.6023261947069588,-0.496526976433031,0.1673033833838137,0.3018783187190943,0.6990939094628035,1.109989909182696,1.1655704855963418
2021-05-01,-0.7429076347226229,-0.500154651314108,-0.20002517502516054,0.0,0.20100502512565566,0.4004004004003914,0.5010649186811854
2021-06-01,-0.5018764785524782,-0.40191939597292403,-0.11250097239193096,0.10030090270809477,0.4004004004003914,0.6999094160078594,0.9368855199489342
2021-07-01,-0.5917159763313751,-0.3474687220631395,0.1504144971100324,0.34898084208112023,0.5994005994006235,0.7690455687047122,0.995764492940048
2021-08-01,-0.5984680660975402,-0.3968277424757338,-0.15405029142593618,0.1992528390922843,0.3736317354796681,0.49917081260364426,0.6998927915050094
2021-09-01,-0.4985303025789225,-0.3980231643905315,-0.19960134591488904,0.14975213191268932,0.3974174794385332,0.6357770902781978,0.774998630385253
2021-10-01,-0.744441685975944,-0.6127608996438029,-0.4523010306490313,0.0,0.4326474432455355,0.774899291222178,1.0546425606700538
2021-11-01,-0.7936916829716618,-0.7218699398678887,-0.49656823900335645,-0.20000000000000018,0.19920363189787904,0.49706778915749705,0.7031926554895307
2021-12-01,-0.449518539866699,-0.39713912168647253,-0.10000002500001742,0.29970224209253815,0.48227318979129447,0.6993006993007089,1.1132875287378974
2022-01-01,-0.5442541694200674,-0.3968679736499514,0.10008350028409459,0.40080200561642965,0.6018822312006233,1.095127552665388,1.1928429423458953
2022-02-01,-0.6931122408509,-0.5921695667187664,-0.29970029970030065,0.3873016205449997,0.6994900932401035,1.0954003660659861,1.1520960368796052
2022-03-01,-3.037737872294789,-2.666362205448132,-2.196671438797429,-1.4414036051771673,-1.0934393638171058,0.10004994974936454,0.30030030030030463
2022-04-01,-0.49658627135003464,-0.29940119760480943,0.19980598342998943,0.30124318989738685,0.5537916030861456,1.0326144003241238,1.1580100299682372
2022-05-01,-0.6972111553784743,-0.5970149253731183,-0.2996411985648084,-0.04995004995004826,0.2991280387432201,0.49975857475857716,0.6081323765866675
2022-06-01,-0.5557534824990106,-0.4339887921751406,-0.20000025010043498,0.29970029970032286,0.5564826578986234,0.8582879780214036,1.0113814346902064
2022-07-01,-0.5020166889603087,-0.39776887258522664,0.0,0.3004510527073623,0.5775306169719052,0.7046013624960934,0.8064516129032029
2022-08-01,-0.6026854777569203,-0.5005327543192556,-0.20020020020018459,0.09995839995841083,0.2998377370386496,0.501787057442592,0.703565091201382
2022-09-01,-0.5935603879711215,-0.49772181178276587,-0.29931352007713463,0.09978500356269127,0.3371915118675739,0.5994005994006235,0.7046406214752835
2022-10-01,-0.7932083470983398,-0.6924583607275919,-0.44751786803544635,0.012512512512510843,0.5556197486081613,0.8973080757726848,1.0945637383041522
2022-11-01,-0.546340346840102,-0.499257220909477,-0.3987360364892681,-0.19940534991392161,0.20025035055094564,0.4995004995005159,0.704800374829601
2022-12-01,-0.4980079681274896,-0.3980099502487566,0.0,0.4001705204314615,0.6489132400498865,0.9823164277702005,1.1453846685439761
2023-01-01,-0.5976932364788065,-0.4995182458611209,-0.1997397037353764,0.33781684989638017,0.5010542168674681,0.977874451098726,1.308602603764873
2023-02-01,-0.7400930289118807,-0.5917159763313751,-0.2004008016032066,0.30364372469633416,0.7085020242914908,1.144845672274688,1.35321561781757
2023-03-01,-3.0283359566784185,-2.934316800514708,-1.9784093506610478,-1.2884056262769117,0.033299832899051175,0.3501009804652966,0.6365623926848228
2023-04-01,-0.46533456285991215,-0.29873222769952856,0.19914207516209165,0.30182186234816166,0.501129140433341,0.9597578184066702,1.109989909182696
2023-05-01,-0.6025166936531371,-0.5490084646905646,-0.29940119760480943,0.0,0.3103319570951289,0.55065295787462,0.7715123003092512
2023-06-01,-0.6014235090039615,-0.5946822277284469,-0.30048964227954306,-0.09998334998334024,0.2004008016031955,0.4046419780407212,0.6559343383888624
2023-07-01,-0.305659552916184,-0.03488998982987036,0.20019046983333566,0.49850944187603274,0.6980807577268248,0.8964143426294591,1.0060615455066713
2023-08-01,-0.7944389275074459,-0.5970149253731183,-0.29940119760480943,0.0,0.2997256732316674,0.5005506508512525,0.8075873186890704
2023-09-01,-0.49643483152936785,-0.3969778194529569,-0.19952666855056062,0.0994378653147591,0.30090270812435094,0.500055451214102,0.6986164364030791
2023-10-01,-0.7530960941178331,-0.5974837739596393,-0.49554013875123815,-0.2494030832979166,0.24966388409921603,0.5022602974712909,0.7021063895200294
2023-11-01,-0.6481249303466163,-0.5970149253731183,-0.49733140998744485,-0.2995258234779308,-0.09990009990009652,0.24813063927052184,0.33486021522234105
2023-12-01,-0.5008447836179485,-0.4239494089693024,-0.2001252001251841,0.2979145978152742,0.49999999999998934,0.7021063189568633,0.9744671452683913
2024-01-01,-0.39828109047287064,-0.20359168524781202,0.249643452127013,0.5010020040080221,0.751053159478432,0.9371072714014562,1.1566716506115304
2024-02-01,-0.6939473184347509,-0.5496132279167588,-0.29940134656002704,0.2569302860234046,0.6771493007844409,0.9959177194783786,1.1459150978466253
2024-03-01,-3.2163742690058394,-2.348597248448861,-1.9802019060179348,-1.4311051341645786,-0.19770822302366264,0.3491976596294366,0.5964214711729587
2024-04-01,-0.43196475574747706,-0.29948843571599437,0.20073272024909716,0.46831070545663156,0.9082689035584851,1.109989909182696,1.1580100299682372
2024-05-01,-0.5973171988662241,-0.4394457895376932,-0.20020030040068804,-0.09981704911884992,0.10030090270809477,0.3011768097815493,0.4973025386485674
2024-06-01,-0.599736153496275,-0.5039589285693389,-0.20033410173771102,-0.09983406371305756,0.19945278217135542,0.4012213218243379,0.500509352037406
2024-07-01,-0.5010271294846413,-0.39787642305372073,0.0,0.30030060120239677,0.5001668335001597,0.7050073944949009,0.9631567508842516
2024-08-01,-0.49852983276475027,-0.360889616163066,-0.19980019980018193,0.09970759023091227,0.29970052358002097,0.5005005005005003,0.7025626910239522
2024-09-01,-0.5000877282660181,-0.396158178692112,-0.19921567424487016,0.0,0.20015493765526304,0.40080200561642965,0.6027590423235824
2024-10-01,-0.4990019960079861,-0.497512437810943,-0.3980099502487566,0.1984126984126977,0.6533601603336991,0.9486863530013091,1.1029458060313204
2024-11-01,-0.6558401512793449,-0.501278384250945,-0.39941311901329074,-0.2980478598123337,0.10528501916137967,0.49824139376379345,0.704242767953035
2024-12-01,-0.4971621808480925,-0.3984063745020028,-0.13281877425738073,0.20020339712146046,0.33743962492720214,0.6048539679697551,0.7496503496503548
2025-01-01,-0.4004054154354883,-0.3000225677030774,0.09995009995011905,0.3010035130517008,0.6979062811565351,0.8000212264293155,1.0131712259371817
2025-02-01,-0.6977548104020451,-0.4990019960079861,-0.2273465622398073,0.20065235928891828,0.4996753246753316,0.7035239834507601,1.0964786122826073
2025-03-01,-3.037737872294789,-2.6522593320235766,-1.9792186933827005,-1.3366336633663212,-0.27642134055136325,0.3509323474191343,0.5964214711729587
2025-04-01,-0.49804126684722744,-0.1047358415124508,0.1999472614186639,0.30364372469633416,0.6036217303822866,0.9117655207873433,1.1111111111111072
2025-05-01,-0.6012024048095865,-0.5675307030071584,-0.2997874763810692,-0.09995843329176682,0.10046537189772053,0.29891447289997375,0.4997337498840578
2025-06-01,-0.49841118752549635,-0.3990100733277202,-0.20025475519796915,-0.09970099631492388,0.29943858536670975,0.6979062811565351,0.7549191893577497
