baseline,enhanced,regime,n,rmse_baseline,rmse_enhanced,pct_improvement,dm_stat,p_value,better
lasso_baseline,lasso_enhanced,full_sample,56,0.549633068542512,0.5448738952089524,0.8658819139430256,0.38100477752428474,0.7046674874648948,lasso_enhanced
lasso_baseline,lasso_enhanced,supply_high=1,17,0.4698780705870504,0.47698478428182456,-1.5124591121895246,-0.5771448691741702,0.5718737806558469,lasso_baseline
lasso_baseline,lasso_enhanced,supply_high=0,39,0.5809817672515202,0.5719502672182807,1.5545238322994654,0.5479165106983388,0.5869536184203712,lasso_enhanced
lasso_baseline,lasso_enhanced,high_inflation=1,27,0.5182024600477632,0.5262558298762143,-1.5540971819602878,-0.8596219914340714,0.39785443784024643,lasso_baseline
lasso_baseline,lasso_enhanced,high_inflation=0,29,0.577359991769842,0.5616534425145498,2.7204083204908613,0.7218086157404714,0.4763972228613911,lasso_enhanced
lasso_baseline,lasso_enhanced,shock_2021_22=1,16,0.4923690238219091,0.49326488056920514,-0.1819482347492405,-0.0676977372478727,0.9469204036449763,lasso_baseline
lasso_baseline,lasso_enhanced,shock_2021_22=0,40,0.5709327559370762,0.5641972078901721,1.1797445455461584,0.413235405255073,0.6816975303937118,lasso_enhanced
lasso_baseline,lasso_enhanced,deflation_2023_25=1,30,0.5709823829512111,0.5694383443042044,0.27041791360113293,0.19912788174833368,0.8435522922061347,lasso_enhanced
lasso_baseline,lasso_enhanced,deflation_2023_25=0,26,0.5239193314582201,0.5150766416150152,1.6877960617702592,0.3290005793795859,0.7448955470484706,lasso_enhanced
elastic_net_baseline,elastic_net_enhanced,full_sample,56,0.548528222176021,0.5495018421600406,-0.17749678952838593,-0.07512561150659708,0.9403873603289674,elastic_net_baseline
elastic_net_baseline,elastic_net_enhanced,supply_high=1,17,0.46789104520485897,0.47950452653495523,-2.482090958806762,-0.8747838364532502,0.3946336150976828,elastic_net_baseline
elastic_net_baseline,elastic_net_enhanced,supply_high=0,39,0.580180901854948,0.5773637996263459,0.4855558360496337,0.16508148516040402,0.8697549295775322,elastic_net_enhanced
elastic_net_baseline,elastic_net_enhanced,high_inflation=1,27,0.5174669923939144,0.5280354151807909,-2.042337567848476,-1.0977743217557185,0.28236593928267784,elastic_net_baseline
elastic_net_baseline,elastic_net_enhanced,high_inflation=0,29,0.5759434062072999,0.5687599815748147,1.2472448777197542,0.31670219770605035,0.7538188016328446,elastic_net_enhanced
elastic_net_baseline,elastic_net_enhanced,shock_2021_22=1,16,0.4906041326016435,0.4945317366131526,-0.8005648037820755,-0.28380480647378264,0.7804398458450592,elastic_net_baseline
elastic_net_baseline,elastic_net_enhanced,shock_2021_22=0,40,0.5700522158212319,0.5700074814817269,0.00784741086228048,0.0026474016935709222,0.9979011773162298,elastic_net_enhanced
elastic_net_baseline,elastic_net_enhanced,deflation_2023_25=1,30,0.5706665354416556,0.5774557546403257,-1.1896998995071215,-0.6426869551545141,0.5254763260090365,elastic_net_baseline
elastic_net_baseline,elastic_net_enhanced,deflation_2023_25=0,26,0.5218182320255619,0.5153666699571486,1.2363619499015903,0.2430182649011195,0.809974131831761,elastic_net_enhanced
random_forest_baseline,random_forest_enhanced,full_sample,56,0.5177910646256345,0.5002073678487367,3.3959057964066957,1.1781353984201188,0.2438150530091714,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,supply_high=1,17,0.45146022542095704,0.4456644736873611,1.2837790368335913,0.4022290403706359,0.6928378809892481,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,supply_high=0,39,0.5441800972767429,0.5222026577525557,4.03863346604728,1.1092005704806105,0.27431427493433724,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,high_inflation=1,27,0.4555355803149609,0.4593307502241952,-0.8331226084711705,-0.1949960160502709,0.8469118435243523,random_forest_baseline
random_forest_baseline,random_forest_enhanced,high_inflation=0,29,0.5696696833815282,0.5354671527601869,6.003923259232792,1.5801596175598125,0.1253022733926381,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,shock_2021_22=1,16,0.46002002688116367,0.44673761455922983,2.8873552336374826,1.405949612700393,0.18011502811515445,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,shock_2021_22=0,40,0.5391690376829039,0.5200582435510444,3.5444902797068636,0.960682812952677,0.34263025928582236,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,deflation_2023_25=1,30,0.567104873636795,0.5434329370280596,4.174172663502121,0.9839413309093433,0.33328271697068046,random_forest_enhanced
random_forest_baseline,random_forest_enhanced,deflation_2023_25=0,26,0.4542867071179632,0.4451462290511851,2.012050523064196,0.7171225252841917,0.47994560615381676,random_forest_enhanced
random_forest_baseline,random_forest_publag2m,full_sample,56,0.5177910646256345,0.5007722284193179,3.2868153525633574,0.8392795247265759,0.4049457251954469,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,supply_high=1,17,0.45146022542095704,0.447236359745257,0.9356008431886922,0.2903120324682537,0.7753064911942693,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,supply_high=0,39,0.5441800972767429,0.5223941934634684,4.003436348057998,0.7959702328867535,0.4309938973636054,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,high_inflation=1,27,0.4555355803149609,0.4447177541824468,2.374748888996674,0.34067223593415435,0.7360877727565689,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,high_inflation=0,29,0.5696696833815282,0.5478290509362491,3.8339116653767342,0.810001374317669,0.4247702040992629,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,shock_2021_22=1,16,0.46002002688116367,0.45244897603000345,1.64580896672919,0.5167870406974179,0.6128400846487452,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,shock_2021_22=0,40,0.5391690376829039,0.5188428705246221,3.769906233049692,0.754126694848791,0.45530257172626554,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,deflation_2023_25=1,30,0.567104873636795,0.5425329921348879,4.332863751342792,0.731564654998694,0.47030502114275596,random_forest_publag2m
random_forest_baseline,random_forest_publag2m,deflation_2023_25=0,26,0.4542867071179632,0.4477729833337483,1.433835435233963,0.476005119147376,0.6382042402267292,random_forest_publag2m
pca_baseline,pca_enhanced,full_sample,56,0.5967732191845175,0.6319314320662844,-5.891385831591123,-1.5158845914375847,0.13527525582320177,pca_baseline
pca_baseline,pca_enhanced,supply_high=1,17,0.46604511640064744,0.4978775214571384,-6.830326922495932,-0.6920363437896718,0.49883515583215665,pca_baseline
pca_baseline,pca_enhanced,supply_high=0,39,0.6455245640473541,0.6821702979788614,-5.676892247406255,-1.336942889760237,0.18919039267434234,pca_baseline
pca_baseline,pca_enhanced,high_inflation=1,27,0.556132720913508,0.6071292512549478,-9.169848927010175,-1.5610211233606293,0.13060964124665397,pca_baseline
pca_baseline,pca_enhanced,high_inflation=0,29,0.6322670245400156,0.6541783660064107,-3.4655202020595515,-0.6616033451661169,0.5136336996689619,pca_baseline
pca_baseline,pca_enhanced,shock_2021_22=1,16,0.4738258726878882,0.5452327537205309,-15.070279009369084,-1.457255326502455,0.16566180457969515,pca_baseline
pca_baseline,pca_enhanced,shock_2021_22=0,40,0.6393662503908206,0.6634461292937158,-3.766210507385411,-0.9029015011603998,0.3721213098342713,pca_baseline
pca_baseline,pca_enhanced,deflation_2023_25=1,30,0.6358473160751374,0.6682369110488117,-5.09392650638267,-1.010919899118866,0.3204155697758464,pca_baseline
pca_baseline,pca_enhanced,deflation_2023_25=0,26,0.5482380563365998,0.5872580900325487,-7.117352260564682,-1.1396751569021042,0.26522378243745015,pca_baseline
comb_baseline,comb_enhanced,full_sample,56,0.5600249728921378,0.5646030642509944,-0.8174798590166288,-0.32706985836824737,0.7448566185164891,comb_baseline
comb_baseline,comb_enhanced,supply_high=1,17,0.4578917402471508,0.465693511201545,-1.7038461864769927,-0.4589932300905108,0.6524128964817508,comb_baseline
comb_baseline,comb_enhanced,supply_high=0,39,0.5991203799320586,0.6026584936904299,-0.5905513944914624,-0.19619433492154395,0.8455035312439947,comb_baseline
comb_baseline,comb_enhanced,high_inflation=1,27,0.5254451539708647,0.5437227447837618,-3.4784964091438972,-1.1970860906384846,0.2420740783102575,comb_baseline
comb_baseline,comb_enhanced,high_inflation=0,29,0.5904021385015661,0.5833719255707682,1.1907499096531837,0.3127304670702947,0.7568028531023443,comb_enhanced
comb_baseline,comb_enhanced,shock_2021_22=1,16,0.47889178361076645,0.489656856666665,-2.247913500359437,-0.5759901208827992,0.5731631149462766,comb_baseline
comb_baseline,comb_enhanced,shock_2021_22=0,40,0.5893591623144712,0.5919305139237088,-0.43629619655689317,-0.14506518782934646,0.8854065315433464,comb_baseline
comb_baseline,comb_enhanced,deflation_2023_25=1,30,0.5886422352285356,0.5987879802417606,-1.7235842768376883,-0.6733214655796429,0.5060738381297862,comb_baseline
comb_baseline,comb_enhanced,deflation_2023_25=0,26,0.5250705411170823,0.5223865121723749,0.5111749249914467,0.10328113211851102,0.9185638990906106,comb_enhanced
